player,passes,successful_passes,pass_accuracy,shots,goals,dribbles,pressures,interceptions,ball_recoveries,duels,blocks,fouls_won,fouls_committed,cluster,role
Roque Luis Santa Cruz Cantero,10.235294117647058,8.117647058823529,79.22235294117647,0.2941176470588235,0.1176470588235294,0.6470588235294118,3.764705882352941,0.2352941176470588,0.5294117647058824,2.5294117647058822,0.2352941176470588,0.4705882352941176,0.2352941176470588,0,Defender
Roque Mesa Quevedo,61.0,53.0,85.79588235294118,0.9705882352941176,0.0294117647058823,1.9705882352941175,14.176470588235292,1.4705882352941178,7.0,2.5588235294117645,1.1176470588235294,1.911764705882353,1.4411764705882353,1,Midfielder
Rubén Blanco Veiga,28.5,16.375,59.2025,0.0,0.0,0.0,0.125,0.0,4.25,0.0,0.0,0.25,0.25,3,Goalkeeper
Rubén Castro Martín,26.894736842105264,19.342105263157897,71.53842105263158,2.710526315789474,0.5,1.5,6.315789473684211,0.3947368421052631,2.8947368421052633,2.3157894736842106,0.5526315789473685,1.7894736842105263,0.6578947368421053,2,Attacker
Rubén Duarte Sánchez,39.59090909090909,28.545454545454547,70.33545454545454,0.4545454545454545,0.0,0.4545454545454545,13.909090909090908,2.772727272727273,3.272727272727273,4.545454545454546,2.1818181818181817,1.0,1.681818181818182,1,Midfielder
Rubén García Santos,21.09090909090909,14.045454545454543,70.41045454545454,0.7272727272727273,0.0454545454545454,2.272727272727273,12.363636363636363,0.5909090909090909,2.8181818181818183,2.5,1.4545454545454546,1.318181818181818,1.2272727272727273,0,Defender
Rubén Gracia Calmache,23.166666666666668,16.555555555555557,74.37722222222222,0.5555555555555556,0.0,1.7222222222222223,9.22222222222222,1.1666666666666667,2.5555555555555554,2.0,1.4444444444444444,0.6111111111111112,0.6666666666666666,0,Defender
Rubén Iván Martínez Andrade,27.533333333333335,15.2,55.52,0.0,0.0,0.0,0.0,0.0,4.466666666666667,0.0,0.0,0.0666666666666666,0.0666666666666666,3,Goalkeeper
Rubén Pardo Gutiérrez,42.32142857142857,32.142857142857146,73.92035714285714,1.3214285714285714,0.0,0.7857142857142857,12.785714285714286,1.2857142857142858,4.392857142857143,2.142857142857143,1.1785714285714286,0.3214285714285714,1.0,4,Utility
Rubén Rochina Naixes,37.91428571428571,25.2,65.18285714285715,2.2285714285714286,0.1714285714285714,3.057142857142857,14.142857142857142,1.2857142857142858,5.914285714285715,3.1142857142857143,1.2,2.742857142857143,1.5142857142857142,2,Attacker
Rubén Salvador Pérez Del Mármol,45.29032258064516,34.25806451612903,75.70161290322581,0.5483870967741935,0.0,1.096774193548387,21.225806451612904,1.935483870967742,5.451612903225806,4.741935483870968,2.5161290322580645,1.2903225806451613,2.032258064516129,1,Midfielder
Rúben Miguel Nunes Vezo,33.733333333333334,24.733333333333334,66.30466666666666,0.2,0.0,0.6666666666666666,10.6,2.466666666666667,3.3333333333333335,3.6,2.1333333333333333,0.6666666666666666,1.4,4,Utility
Răzvan Dincă Raț,57.2,40.3,71.176,0.8,0.0,0.8,7.0,2.1,2.9,2.5,1.3,0.3,1.1,4,Utility
Sabin Merino Zuloaga,14.681818181818182,9.545454545454543,60.280454545454546,1.2272727272727273,0.2272727272727272,1.818181818181818,8.727272727272727,0.3636363636363636,2.272727272727273,2.772727272727273,1.2272727272727273,0.4545454545454545,0.5454545454545454,0,Defender
Salvador Ruiz Rodríguez,20.5,17.5,70.715,0.0,0.0,1.0,4.0,1.0,2.5,1.0,0.0,0.5,1.0,0,Defender
Salvador Sevilla López,22.133333333333333,18.4,81.53066666666668,0.4666666666666667,0.0666666666666666,0.2666666666666666,6.2,0.2666666666666666,1.6666666666666667,1.1333333333333333,0.4,0.7333333333333333,0.3333333333333333,0,Defender
Samuel Castillejo Azuaga,24.642857142857142,16.142857142857142,64.23035714285714,0.8928571428571429,0.0357142857142857,3.0,15.964285714285714,1.0,4.071428571428571,2.2857142857142856,2.2857142857142856,1.8571428571428572,1.0,2,Attacker
Samuel García Sánchez,22.75,15.375,62.46,0.625,0.125,1.3125,12.375,0.25,2.5,3.4375,1.0,0.9375,1.75,0,Defender
Sandro Ramírez Castillo,9.1,7.2,80.55,1.0,0.0,0.8,5.4,0.3,1.3,0.8,0.6,0.7,0.4,0,Defender
Santiago Mina Lorenzo,21.46153846153846,15.615384615384617,72.95923076923077,0.9230769230769232,0.1538461538461538,2.3461538461538463,15.692307692307692,0.3846153846153846,2.3461538461538463,3.9615384615384617,1.4615384615384617,2.1153846153846154,1.3846153846153846,2,Attacker
Santiago Vergini,35.65384615384615,29.615384615384617,81.77538461538461,0.3076923076923077,0.0,0.5769230769230769,7.615384615384615,2.8076923076923075,4.653846153846154,2.5384615384615383,1.1538461538461535,0.2692307692307692,1.0,4,Utility
Saúl Berjón Pérez,23.58620689655172,13.517241379310343,62.07620689655173,1.1724137931034482,0.1379310344827586,2.068965517241379,7.551724137931035,0.6206896551724138,2.931034482758621,2.3448275862068964,1.2413793103448276,0.4137931034482758,1.0,0,Defender
Saúl Ñíguez Esclapez,36.903225806451616,28.322580645161292,77.69903225806452,1.5161290322580645,0.1290322580645161,1.967741935483871,20.29032258064516,1.5483870967741935,4.806451612903226,6.225806451612903,2.5806451612903225,1.032258064516129,1.7741935483870968,1,Midfielder
Sebastián Carlos Cristóforo Pepe,38.666666666666664,33.23809523809524,83.75047619047619,0.1428571428571428,0.0,0.9047619047619048,21.047619047619047,1.4761904761904765,4.523809523809524,4.619047619047619,2.047619047619047,2.619047619047619,2.5238095238095237,1,Midfielder
Sergi Darder Moll,40.0,34.0,85.0,3.0,0.0,3.0,14.0,1.0,3.0,5.0,0.0,1.0,1.0,2,Attacker
Sergi Gómez Solà,49.74193548387097,42.58064516129032,81.90483870967742,0.064516129032258,0.0,0.1612903225806451,10.96774193548387,2.6774193548387095,4.0,3.806451612903226,1.7741935483870968,0.2903225806451613,1.064516129032258,4,Utility
Sergi Roberto Carnicer,44.25806451612903,38.58064516129032,85.90645161290323,0.5161290322580645,0.0,1.4516129032258065,10.903225806451612,0.7419354838709677,3.064516129032258,2.3225806451612905,0.8709677419354839,0.8387096774193549,0.6451612903225806,4,Utility
Sergi Samper Montaña,26.0,22.0,84.62,0.0,0.0,0.0,11.0,0.0,2.0,2.0,0.0,0.0,0.0,0,Defender
Sergio Asenjo Andrés,26.25,15.0,56.63250000000001,0.0,0.0,0.0,0.0,0.0,2.75,0.0,0.0,0.0,0.25,3,Goalkeeper
Sergio Busquets i Burgos,68.74285714285715,62.34285714285714,90.34942857142858,0.1714285714285714,0.0,0.8571428571428571,16.62857142857143,1.0857142857142856,4.3428571428571425,4.257142857142857,1.8285714285714283,2.342857142857143,1.1428571428571428,1,Midfielder
Sergio Canales Madrazo,31.9375,24.4375,76.761875,1.5,0.0,0.625,11.5625,0.4375,2.625,2.4375,1.25,1.0625,1.0625,4,Utility
Sergio Enrich Ametller,22.55263157894737,15.31578947368421,65.39868421052631,1.1578947368421053,0.2368421052631578,1.1578947368421053,15.078947368421051,0.2368421052631578,2.6578947368421053,7.2894736842105265,1.0789473684210529,1.5789473684210529,1.631578947368421,2,Attacker
Sergio Escudero Palomo,43.86666666666667,31.733333333333334,71.16733333333333,0.8,0.0666666666666666,1.4666666666666666,13.333333333333334,1.7333333333333334,3.7333333333333334,4.066666666666666,2.4,1.5333333333333334,1.7333333333333334,1,Midfielder
Sergio Ezequiel Araújo,17.466666666666665,12.666666666666666,66.683,2.033333333333333,0.1666666666666666,1.7333333333333334,9.333333333333334,0.2333333333333333,2.6333333333333333,4.533333333333333,1.1666666666666667,0.8,1.4333333333333331,2,Attacker
